,Date,Symbol,close_price,medrv
1831,04/27/2022,5Yr,2.81,0
1832,04/28/2022,5Yr,2.86,0
1833,04/29/2022,5Yr,2.92,0
1834,05/02/2022,5Yr,3.01,0
1835,05/03/2022,5Yr,3.01,0
1836,05/04/2022,5Yr,2.93,0
1837,05/05/2022,5Yr,3.01,0
1838,05/06/2022,5Yr,3.06,0
1839,05/09/2022,5Yr,2.95,0
1840,05/10/2022,5Yr,2.91,0
1841,05/11/2022,5Yr,2.89,0
1842,05/12/2022,5Yr,2.81,0
1843,05/13/2022,5Yr,2.89,0
1844,05/16/2022,5Yr,2.83,0
1845,05/17/2022,5Yr,2.96,0
1846,05/18/2022,5Yr,2.89,0
1847,05/19/2022,5Yr,2.84,0
1848,05/20/2022,5Yr,2.8,0
1849,05/23/2022,5Yr,2.88,0
1850,05/24/2022,5Yr,2.76,0
1851,05/25/2022,5Yr,2.71,0
1852,05/26/2022,5Yr,2.7,0
1853,05/27/2022,5Yr,2.71,0
1854,05/31/2022,5Yr,2.81,0
1855,06/01/2022,5Yr,2.94,0
1856,06/02/2022,5Yr,2.92,0
1857,06/03/2022,5Yr,2.95,0
1858,06/06/2022,5Yr,3.03,0
1859,06/07/2022,5Yr,2.99,0
1860,06/08/2022,5Yr,3.03,0
1861,06/09/2022,5Yr,3.07,0
1862,06/10/2022,5Yr,3.25,0
1863,06/13/2022,5Yr,3.56,0
1864,06/14/2022,5Yr,3.61,0
1865,06/15/2022,5Yr,3.38,0
1866,06/16/2022,5Yr,3.35,0
1867,06/17/2022,5Yr,3.34,0
1868,06/21/2022,5Yr,3.38,0
1869,06/22/2022,5Yr,3.22,0
1870,06/23/2022,5Yr,3.14,0
1871,06/24/2022,5Yr,3.18,0
1872,06/27/2022,5Yr,3.24,0
1873,06/28/2022,5Yr,3.25,0
1874,06/29/2022,5Yr,3.15,0
1875,06/30/2022,5Yr,3.01,0
1876,07/01/2022,5Yr,2.88,0
1877,07/05/2022,5Yr,2.82,0
1878,07/06/2022,5Yr,2.96,0
1879,07/07/2022,5Yr,3.05,0
1880,07/08/2022,5Yr,3.13,0
1881,07/11/2022,5Yr,3.05,0
1882,07/12/2022,5Yr,3.01,0
1883,07/13/2022,5Yr,3.02,0
1884,07/14/2022,5Yr,3.06,0
1885,07/15/2022,5Yr,3.05,0
1886,07/18/2022,5Yr,3.06,0
1887,07/19/2022,5Yr,3.14,0
1888,07/20/2022,5Yr,3.18,0
1889,07/21/2022,5Yr,3.0,0
1890,07/22/2022,5Yr,2.87,0
1891,07/25/2022,5Yr,2.89,0
1892,07/26/2022,5Yr,2.89,0
1893,07/27/2022,5Yr,2.82,0
1894,07/28/2022,5Yr,2.69,0
1895,07/29/2022,5Yr,2.7,0
1896,08/01/2022,5Yr,2.66,0
1897,08/02/2022,5Yr,2.85,0
1898,08/03/2022,5Yr,2.86,0
1899,08/04/2022,5Yr,2.76,0
1900,08/05/2022,5Yr,2.97,0
1901,08/08/2022,5Yr,2.91,0
1902,08/09/2022,5Yr,2.97,0
1903,08/10/2022,5Yr,2.93,0
1904,08/11/2022,5Yr,2.98,0
1905,08/12/2022,5Yr,2.97,0
1906,08/15/2022,5Yr,2.91,0
1907,08/16/2022,5Yr,2.95,0
1908,08/17/2022,5Yr,3.04,0
1909,08/18/2022,5Yr,3.02,0
