,Date,Symbol,close_price,medrv
27071,07/19/2012,7Yr,0.99,0
27070,07/20/2012,7Yr,0.95,0
27069,07/23/2012,7Yr,0.93,0
27068,07/24/2012,7Yr,0.91,0
27067,07/25/2012,7Yr,0.91,0
27066,07/26/2012,7Yr,0.94,0
27065,07/27/2012,7Yr,1.04,0
27064,07/30/2012,7Yr,0.99,0
27063,07/31/2012,7Yr,0.98,0
27062,08/01/2012,7Yr,1.03,0
27061,08/02/2012,7Yr,0.98,0
27060,08/03/2012,7Yr,1.07,0
27059,08/06/2012,7Yr,1.05,0
27058,08/07/2012,7Yr,1.13,0
27057,08/08/2012,7Yr,1.14,0
27056,08/09/2012,7Yr,1.15,0
27055,08/10/2012,7Yr,1.11,0
27054,08/13/2012,7Yr,1.12,0
27053,08/14/2012,7Yr,1.18,0
27052,08/15/2012,7Yr,1.25,0
27051,08/16/2012,7Yr,1.28,0
27050,08/17/2012,7Yr,1.27,0
27049,08/20/2012,7Yr,1.26,0
27048,08/21/2012,7Yr,1.25,0
27047,08/22/2012,7Yr,1.16,0
27046,08/23/2012,7Yr,1.13,0
27045,08/24/2012,7Yr,1.14,0
27044,08/27/2012,7Yr,1.11,0
27043,08/28/2012,7Yr,1.1,0
27042,08/29/2012,7Yr,1.11,0
27041,08/30/2012,7Yr,1.08,0
27040,08/31/2012,7Yr,1.01,0
27039,09/04/2012,7Yr,1.03,0
27038,09/05/2012,7Yr,1.04,0
27037,09/06/2012,7Yr,1.12,0
27036,09/07/2012,7Yr,1.09,0
27035,09/10/2012,7Yr,1.1,0
27034,09/11/2012,7Yr,1.12,0
27033,09/12/2012,7Yr,1.17,0
27032,09/13/2012,7Yr,1.12,0
27031,09/14/2012,7Yr,1.23,0
27030,09/17/2012,7Yr,1.22,0
27029,09/18/2012,7Yr,1.19,0
27028,09/19/2012,7Yr,1.18,0
27027,09/20/2012,7Yr,1.18,0
27026,09/21/2012,7Yr,1.14,0
27025,09/24/2012,7Yr,1.12,0
27024,09/25/2012,7Yr,1.08,0
27023,09/26/2012,7Yr,1.03,0
27022,09/27/2012,7Yr,1.05,0
27021,09/28/2012,7Yr,1.04,0
27020,10/01/2012,7Yr,1.04,0
27019,10/02/2012,7Yr,1.03,0
27018,10/03/2012,7Yr,1.02,0
27017,10/04/2012,7Yr,1.07,0
27016,10/05/2012,7Yr,1.12,0
27015,10/09/2012,7Yr,1.11,0
27014,10/10/2012,7Yr,1.09,0
27013,10/11/2012,7Yr,1.09,0
27012,10/12/2012,7Yr,1.09,0
27011,10/15/2012,7Yr,1.09,0
27010,10/16/2012,7Yr,1.15,0
27009,10/17/2012,7Yr,1.24,0
27008,10/18/2012,7Yr,1.26,0
27007,10/19/2012,7Yr,1.21,0
27006,10/22/2012,7Yr,1.25,0
27005,10/23/2012,7Yr,1.21,0
27004,10/24/2012,7Yr,1.21,0
27003,10/25/2012,7Yr,1.28,0
27002,10/26/2012,7Yr,1.2,0
